,HastaneAdi,Enlem,Boylam,Adres,Telefon
170,Bursa Devlet Hastanesi,40.186466,29.053337,Hasta Yurdu Cd. No: 31 Tophane Bursa ,2242802800
171,Bursa Dr.Ayten Bozkaya Spastik Çocuklar Hastanesi Ve Rehabilitasyon Merkezi,40.217293,29.067593,"Altınova Mah. Yolgör Sokak
Osmangazi
Bursa",2242160060
172,Bursa Duaçınarı Ağız Ve Diş Sağlığı Merkezi,40.19071,29.09124,Şükraniye Mh. Hastane Sk. No.11 Pk: 16110 Yıldırım Bursa,2243605252
173,Bursa Dörtçelik Çocuk Hastalıkları Hastanesi,40.21792,28.919893,Ertuğrul Mah. Doğan Avcıoğlu Cad.No:7 Nilüfer Bursa 16140,2242752000
174,Bursa Gemlik Muammer Ağım Devlet Hastanesi,40.452694,29.153595,"Orhaniye Mahallesi Çevreyolu Üstü Manastır Mevkii 16600
                                Gemlik / Bursa",2245173400
175,Bursa Karacabey Devlet Hastanesi,40.24494,28.355713,Tavşanlı Mah. 56 Sokak No:4 16700    Karacabey / Bursa,2246761092
176,Bursa M.Kemalpaşa Devlet Hastanesi,40.04864,28.408585,"Çırpan Mh Sağlık Sok. No:1
Mustafakemalpaşa/bursa",2246131860
177,Bursa Mudanya Şaziye Rüştü  Devlet Hastanesi,40.39781,28.87619,Aydınpınar Mevkii Sarı Cadde Mudanya /bursa,2242801600
178,Bursa Orhaneli Devlet Hastanesi,39.92975,28.994293,Karabekirpaşa Mah. Linyit Sokak No:1 Orhaneli/bursa,2248171033
179,Bursa Orhangazi Devlet Hastanesi,40.0,29.0,Arapzade Mah. Erenler Cad. Hastane Sok. Orhangazi/bursa,2245731270
180,Bursa Prof.Dr. Türkan Akyol Göğüs Hastalıkları Hastanesi,40.189888,29.11171,"Ertuğrulgazi Mh. Ülkü Sk. No:4
Yıldırım/bursa",2243683450
181,Bursa Yenişehir Devlet Hastanesi,40.282146,29.64386,İznik Caddesi No:60 Bursa/yenişehir,2247730055
182,Bursa Yüksek İhtisas Eğitim Ve Araştırma Hastanesi,40.20772,29.10965,152 Evler Mah. Prof.Tezok Cad. No:2 Yıldırım/bursa(Ankara Asfaltı Dsi Karşısı,2243605050
183,Bursa Zübeyde Hanım Doğumevi,40.212177,29.018497,Hüdavendigar Mah. Hat Cad. No:2,2242333839
184,Bursa Çekirge Devlet Hastanesi,29.00528,40.22817,Mutluevler Mah. Nazlı Caddesi No: Bila Osmangazi Bursa,2242393636
185,Bursa İnegöl Ağız Ve Diş Sağlığı Merkezi,40076396.0,29491536.0,Turgutalp Mah. Cerrah Yolu İnegöl Meslek Yüksek Okul Yanı İnegöl / Bursa,2247152008
186,Bursa İnegöl Devlet Hastanesi,40.074066,29.50889,Kemalpaşa Mahallesi Çimen Sokak No:1 İnegöl,2247151715
187,Bursa İznik Devlet Hastanesi,294235.0,402440.0,Selçuk Mah.Üyücek Mevkii,2247577580
188,Bursa Şevket Yılmaz Eğitim Ve Araştırma Hastanesi,40.185135,29.126795,"Mimar Sinan Mah. Emniyet Cad. 
Yıldırım  /  Bursa",2242955000
189,Çanakkale Ayvacık Devlet Hastanesi,39.600746,26.406605,Edremit Caddesi  Pk 17860 Ayvacık Çanakkale,2867121050
190,Çanakkale Ağız Ve Diş Sağlığı Merkezi,15.45,15.45,Cumhuriyet Mahallesi Sahil Yolu Caddesi No:7 Kepez / Çanakkale,2862160000
191,Çanakkale Bayramiç Devlet Hastanesi,39.863373,26.61438,Camicedit Mah.İnönü Cad. No:1 Bayramiç,2867731248
192,Çanakkale Biga Devlet Hastanesi,40.260666,27.263947,"Kıbrıs Şehitleri Caddesi
Biga Devlet Hastanesi",2863161006
193,Çanakkale Devlet Hastanesi,40.17048,26.408386,"Çanakkale Devlet Hastanesi 
İsmet Paşa Mah. İnönü Caddesi
Çanakkale Merkez",2862171098
194,Çanakkale Ezine Devlet Hastanesi,26.350681,39.776234,Esentepe Mevkii P.K.17600 Ezine / Çanakkale,2866182992
195,Çanakkale Gelibolu Devlet Hastanesi,40.432316,26.676178,Yazıcızade Mh.Celal İleri Cd.Jandarma Karşısı Kaynarca Mevkii No : 22,2865661035
196,Çanakkale Gökçeada Devlet Hastanesi,40.19792,25.902779,Fatih Mah.İnönü Cd. No:5,2868873003
197,Çanakkale Lapseki Devlet Hastanesi,40.3472,26.684095,"Cumhuriyet Mahallesi Çanakkale Caddesi Lapseki Devlet Hastanesi
",2865121129
198,Çanakkale Yenice Devlet Hastanesi,39.935837,27.242939,Armutlu Koru Mevki Çan Yolu 2. Km,2864743010
199,Çanakkale Çan Devlet Hastanesi,40.044437,27.053833,Karşıyaka Mahallesi Orhan Caneri Caddesi No: 29 Çanakkale / Çan,2864161430
200,Çankırı Ağız Ve Diş Sağlığı Merkezi,40.603283,33.6054,Aksu Mahallesi Hürriyet Caddesi No:16 Çankırı ,3762130033
201,Çankırı Devlet Hastanesi,40.603584,33.606197,Kastamonu Cad. Kırkevler Mah. 18200 Çankırı,3762132727
202,Çankırı Ilgaz Devlet Hastanesi,40.93011,33.62236,Yukarı Mahalle Nailibaba Caddesi Sağlık Sokak No:2 nIlgaz/çankırı,3764161015
203,Çankırı Kurşunlu İlçe Hastanesi,40.84132,33.260723,Yeşil Mahalle Hastane Caddesi 18300 Kurşunlu/çankırı,3764651016
204,Çankırı Çerkeş Devlet Hastanesi,40.81872,32.899914,Cumhuriyet Mah. Reis İsmail Yenigün Cad.No:16 18600 Çerkeş Çankırı,3767661024
205,Çorum Alaca Devlet Hastanesi,40.17643,34.857323,Yıldızhan Mah.Cengiztopel Sok. No:101,3644115012
206,Çorum Ağız Ve Diş Sağlığı Merkezi,40.50382,34.63587,Yavruturna Mh. Bahabey Cd. No:22 Çorum,3642124515
207,Çorum Bayat Devlet Hastanesi,40.63667,34.276443,Yatukcu Mahallesi Çorum Caddesi No:145 Bayat/çorum,3643814449
208,Çorum Göğüs Hastalıkları Hastanesi,40.540092,34.952732,"Gülabibey Mahallesi.Cemilbey Caddesi. No : 81
Çorum Göğüs Hastalıkları Hastanesi Baştabibliği",3642255868
209,Çorum Kargı Devlet Hastanesi,41.13955,34.48853,Hastane Cad.No:5  Kargı /çorum,3646512012
210,Çorum Mecitözü Devlet Hastanesi,35.2887,40.52276,Sarıdede Mah. Ceyhan Sok. No: 5,3644614303
211,Çorum Osmancık Devlet Hastanesi,40.966953,34.79474,Osmancık/çorum,3646114033
212,Çorum Sungurlu Devlet Hastanesi,40.52352,35.28875,Yeni Hayat Mah. Doktor Sadık Ahmet Cad. Sungurlu Merkez/çorum?,3643118007
213,Çorum T.C. Sağlık Bakanlığı Hitit Üniversitesi Çorum Eğitim Ve Araştırma Hastanesi,3404.0,3954.0,Bahçelievler Mah. Çamlık Cd.No:2,3642230300
214,Çorum İskilip Devlet Hastanesi,40.73,34.46,Meydan Mah. Hastane Cad. No:12 Çorum/iskilip,3645116012
215,Denizli Acıpayam Devlet Hastanesi,37.42827,29.350319,Çamlık Mahallesi Sağlık Cad.No:22 Acipayam-denizli ,2585181064
216,Denizli Ağız Ve Diş Sağlığı Merkezi,37.764458,29.091581,"İstiklal Mahallesi Kıbrıs Şehitler Caddesi Eski Ssk Binası Kat:2-3
Denizli/merkezi",2582117916
217,Denizli Buldan Göğüs Hastalıkları Hastanesi,38.046486,28.838081,"Çay Başı Mahallesi Bulak Sokak No:1 Buldan/denizli(Dr.A.Sayıner Binası)
Turan Mah.Kumralı Cad.No:1 Buldan/denizli(Arif Cerit Binası)",2584313057
218,Denizli Devlet Hastanesi,37.78345,29.078665,Muratdede Mah. Şehit Albay Karaoğlanoğlu Cad. No :1 Denizli,2582639311
219,Denizli Honaz Devlet Hastanesi,37.76113,29.267513,Cumhuriyet Mahallesi No:2 Honaz Denizli,2588111244
220,Denizli Kale Devlet Hastanesi,42.0,36.0,Cevherpaşa Mahallesi Hastane Caddesi No:1 Kale/denizli,2586713055
221,Denizli Sarayköy Devlet Hastanesi,28.55,37.55,Cumhuriyet Mah. Hastane Cad. No: 26 ,2584154377
222,Denizli Servergazi Devlet Hastanesi,37.776882,29.01927,"Denizli Server Gazi Devlet Hastanesi
Bereketler Mahallesi Bereket Caddesi No: 1 Merkez / Denizli",2583613232
223,Denizli Tavas Devlet Hastanesi,37.582336,29.060534,"Yaka Mah.Atatürk Bulvarı No:12/1 
Tavas/denizli",2586131027
224,Denizli Çal Devlet Hastanesi,38.08269,29.396217,İsmailler Mah. Sağlık Caddesi,2587512244
225,Denizli Çameli Devlet Hastanesi,37.073036,29.345963, Deveçukuru Sok..Yunuspınarı Mah.No:24 Çameli ?Denizli,2585716401
226,Denizli Çivril Devlet Hastanesi,35.61,27.35,Uşak Yolu Üzeri Çivril-denizli,2587131022
227,Diyarbakır Ağız Ve Diş Sağlığı Merkezi,37.93553,40.220947,Devlet Hastanesi Acil Yanı Dağkapı Yenişehir Diyarbakır,4122240894
228,Diyarbakır Bismil Devlet Hastanesi,37.852085,40.66452,Altıok Mah İstasyon Cad.,4124152310
229,Diyarbakır Devlet Hastanesi,40.239517,37.918465,Dr. Şeref İnal Öz Cd. Diyarbakır Devlet Hastanesi,4122289193
230,Diyarbakır Dicle İlçe Hastanesi,38.363735,40.07126,27 mAyıs Mahallesi Ergani Caddesi Afet Küme Evleri Bitişiği Dicle Diyarbakır,4125612073
231,Diyarbakır Ergani Devlet Hastanesi,38.281853,39.760895,Adnan Menderes Mah. 150 Yataklı Ergani Devlet Hastanesi,4126115112
232,Diyarbakır Eğil İlçe Hastanesi,38.271072,40.08362,Sağlık Cad Eğil Diyarbakır,4125812007
233,Diyarbakır Eğitim Ve Araştırma Hastanesi,38.000492,40.137863,"Elazığ Yolu 10.Km Üçkuyular Mevki Toki Karşısı Yenişehir/diyarbakır 
",4122580060
234,Diyarbakır Hani İlçe Hastanesi,90.0,15.0,Merkez Mah. Nergiz Sok. No:13 Hani-diyarbakır,4126512480
235,Diyarbakır Kadın Doğum Ve Çocuk Hastalıkları Hastanesi,38.274845,40.08568,Urfa Yolu 7.Km Bağlar Diyarbakır,4122519123
236,Diyarbakır Kulp İlçe Hastanesi,38.520233,40.99823,Diyarbakır/kulp,4128312101
237,Diyarbakır Lice Halis Toprak Vakfı İlçe Hastanesi,38.468105,40.641174,Kara Hasan Mah. Diyarbakır Yolu Üzeri Lice Diyarbakır,4128612047
238,Diyarbakır Silvan  Dr.Yusuf Azizoğlu Devlet Hastanesi,38.17667,40.984497,Bahçelievler Mah. Hastane Cad. No :21 Silvan / Diyarbakır,4127115005
239,Diyarbakır Çermik Devlet Hastanesi,38.129154,39.44641,Çukur Mah. Eski Siverek Yolu ,4124613501
240,Diyarbakır Çınar İlçe Hastanesi,37.740314,40.417328,Cumhuriyet Mah.Diyarbakır Yolu 2. Km Çınar İlçe Devlet Hastanesi Pk:21750 Çınar/diyarbakır,4125112399
241,Diyarbakır Çocuk Hastalıkları Hastanesi,37.950695,40.23468,"Hastaneler Caddesi  Diyarbakır Çocuk Hastalıkları Hastanesi  Eski Ssk Binası   
Dağkapı / Diyarbakır",4122245751
242,Edirne Ağız Ve Diş Sağlığı Merkezi,41.73345,27.221222,"1. mUrat Mahallesi 10. Sokak
 No:8, Edirne",2842148195
243,Edirne Devlet Hastanesi,41.67501,26.561226,"Sarıca Paşa Mah. Çukur Çeşme Sokak No 4-6 
Merkez Edirne ",2842145510
244,Edirne Keşan Devlet Hastanesi,40.859753,26.619978,Yukarı Zaferiye Mah.Hastane Cad.Keşan -Edirne,2847143434
245,Edirne Uzunköprü Devlet Hastanesi,41.325264,26.710081,Uzunköprü Devlet Hastanesi Uzunköprü/edirne Pk 22200,2845131088
246,Elazığ Ağız Ve Diş Sağlığı Merkezi,38.68122,39.171753,Cumhuriyet Mah. Akgün Arkası  Elazığ Ağız Ve Diş Sağlığı Merkezi,4242470772
247,Elazığ Eğitim Ve Araştırma Hastanesi,38.68236,39.225224,Rızaiye Mah. İnönü Cad. No:74 Elazığ,4242381000
248,Elazığ Harput Devlet Hastanesi,38.683674,39.223633,Harput Devlet Hastanesi İnönü Caddesi No:8/elazığ,4242341500
249,Elazığ Karakoçan Devlet Hastanesi,38.956203,40.035553,"Kırkpınar Mah. Hastane Cad.
Karakoçan / Elazığ",4247112502
250,Elazığ Kovancılar Devlet Hastanesi,38.718197,39.86458,Kovancılar Devlet Hastanesi 23850 Kovancılar/elazığ,4246114643
251,Elazığ Maden Devlet Hastanesi,38.393337,39.673004,Camikebir Mahallesi Ergene Sokak No:1 Maden/elazığ,4244412109
252,Elazığ Palu Devlet Hastanesi,38.696228,39.928436,Numune Mah.Hastane Cad.Palu/elazığ,4246512919
253,Elazığ Ruh Sağlıgı Ve Hastalıkları Hastanesi,38.68551,39.228058,"Rızaiye Mah. Mehmet Güçlü Cad.No:71 Elazığ
",4242181083
254,Erzincan Ağız Ve Diş Sağlığı Merkezi,39.3173,39.55078,Cumhuriyet Mah Uğur Tunç Ata Cad No 26 Erzincan,4462243338
255,Erzincan Mengücek Gazi Eğitim Ve Araştırma Hastanesi,39.797985,39.49585,Başbağlar Mahallesi,4462241224
256,Erzincan Refahiye Dr.Fahrettin Uğur İlçe Hastanesi,39.923428,38.768005,Erzincan Cad Kemaliye Mah. Refahiye /erzincan,4466112015
257,Erzincan Tercan Devlet Hastanesi,39.840176,40.377502,"Tercan Devlet Hastanesi
Tercan Erzincan
",4464413097
258,Erzurum Ağız Ve Diş Sağlığı Merkezi,39.17266,35.233154,Gez Mah Caykara Cad .Eski Numune Hasthanesi Yanı Yakutiye Erzurum,4422334590
259,Erzurum Aşkale İlçe Hastanesi,39.17266,35.222168,"Bahçeli Evler Mahallesi 121. Karyolları Şube Şefliği Yanı
Aşkale / Erzurum",4424151923
260,Erzurum Bölge Eğitim Ve Araştırma Hastanesi,40.12009,41.19873,Osman Gazi Mah. Çat Yolu Üzeri 25070 Yıldızkent / Erzurum ,4422325555
261,Erzurum Hınıs Devlet Hastanesi,39.40649,41.69037,Cumhuriyet Cad. Yenikent Mah. No:1/7,4425113200
262,Erzurum Horasan Devlet Hastanesi,40.039047,42.162415,Adnan Menderes Mah.Prof.Dr. Recep Akdağ Caddesi No:20 Horasan/erzurum,4427113783
263,Erzurum Karaçoban İlçe Hastanesi,39.440434,42.13806,Karaçoban Erzurum,4425912150
264,Erzurum Nenehatun Kadın Doğum Hastanesi,39.943436,41.267395,"Yukarı Köşk Mh.Doktor Refik Saydam Cd.Çat D100 Kara Yolu Üzeri
25070/palandöken/erzurum",4423172295
265,Erzurum Oltu Devlet Hastanesi,40.582672,41.992493,Yasin Haşimoğlu Mah.Narman Cad.No:8,4428161554
266,Erzurum Palandöken Devlet Hastanesi,39.93712,41.24817,"Paşalar Caddesi Aşağı Köşk Mh.  25100 Yakutiye/erzurum
",4422355080
267,Erzurum Pasinler İbrahim Hakkı Devlet Hastanesi,39.991325,41.669083,Kurtuluş Mah. Değirmenler Mevkii  Pasinler/erzurum,4426613001
268,Erzurum Tekman Devlet Hastanesi,36.42,26.45,"Vatan Mahallesi
Tekman/erzurum",4425612006
269,Erzurum Tortum  İlçe Hastanesi,39.36548,41.265476,Oltu Cad.Tortum/erzurum,4427612013
270,Erzurum Türk Eczacıları Birliği Karayazı İlçe Hastanesi,36.42,26.45,Karayazı/ Erzurum,4425412491
271,Erzurum Çat İlçe Hastanesi,39.612103,40.977608,Oyuklu Mah.Hastane Cad.No:3,4226112018
272,Erzurum İspir Devlet Hastanesi,40.504402,41.005096,"Yukarı Mah Hastane Cad. No:1 İspir/erzurum

",4424513079
273,Eskişehir Ağız Ve Diş Sağlığı Merkezi,39.755123,30.520105,Yenikent Mah. Piri Reis Cad. Odunpazarı Eskişehir,2222290919
274,Eskişehir Devlet Hastanesi,39.76634,30.543627,Yenidoğan Mh. Şehit Serkan Özaydın Sokak No:9 Eskişehir,2222374800
275,Eskişehir Günyüzü İlçe Hastanesi,39.385063,31.809969,Yenikent Mahallesi Vatan Caddesi Numara: 8 Günyüzü / Eskişehir,2225617057
276,Eskişehir Mahmudiye İlçe Hastanesi,39.49939,30.981081,"Işıklar Mah. Eskişehir Cad.No:73
Mahmudiye Eskişehir",2226113025
277,Eskişehir Mihalıççık Gün Sazak İlçe Hastanesi,39.49942,30.980652,Medrese Mah.Şehit Yüzbaşı Tuncel Bingöl Sokak No:bila Mihalıççık/eskişehir,2226313565
278,Eskişehir Sivrihisar Devlet Hastanesi,39.581364,32.14235,Yunusemre Mahallesi Yirmieylük Caddesi,2227114017
279,Eskişehir Yunus Emre Devlet  Hastanesi,39.78624,30.489061,Uluönder Mh. Salih Bozok Cd. No:23 26190   Tepebaşı-eskişehir,2222119595
280,Eskişehir Çifteler Devlet Hastanesi,39.37795,31.036892,Erbab Mah. İbrahimdede Cad. No1,2225414097
281,Gaziantep 25 Aralık Devlet Hastanesi,37.066444,37.361366,Sarıgüllük Mahallesi Fevzi Çakmak Bulvarı Şehitkamil/gaziantep,3423382525
282,Gaziantep Araban İlçe Hastanesi,37.425472,37.686836,Araban Devlet Hastanesi,3426112384
283,Gaziantep Cengiz Gökçek Kadın Hastalıkları Ve Doğum Hastanesi,37.058945,37.31549,Osmangazi Mh Batalhöyük Mevkii 162 Nl Cd. Şehitkamil Gaziantep,3423385101
284,Gaziantep Dr.Ersin Arslan Devlet Hastanesi,37.05903,37.37971,Hürriyet Cad. Şahinbey/ Gaziantep,3422210700
285,Gaziantep Nurdağı İlçe Hastanesi,37.1848,36.7336,Atatürk Mah. Halide Edip Adıvar Cad. Nurdağı / Gaziantep,3426713010
286,Gaziantep Nizip Devlet Hastanesi,37.008224,37.80234,Fatih Sultan Mh. Hastane Cd. Nizip Gaziantep,3425175400
287,Gaziantep Oğuzeli İlçe Hastanesi,36.964382,37.51232,Oğuzlar Mahallesi Karpuzatan Cad.No:1,3425713028
288,Gaziantep Çocuk Hastalıkları Hastanesi,37.054733,37.344692,Osmangazi Mh.Kadıdeğirmeni Şehitkamil/gaziantep,3423600888
289,Gaziantep İslahiye Devlet Hastanesi,37.026352,36.63161, Erenler Mah.Gaziantep Bulvarı İslahiye Devlet Hastanesi,3428621026
290,Gaziantep Şahinbey Ağız Ve Diş Sağlığı Merkezi,37.06653,37.359478,Eyupoğlu Mahallesi 1 Nolu Sokak No:1 Şahinbey / Gaziantep,3422326565
291,Gaziantep Şehitkamil Ağız Ve Diş Sağlığı Merkezi,37.066498,37.3595,"Sarıgüllük Mah İbrahim Bali Cad 25 Aralık Devlet Hastanesi Bahçe İçi
",3423393333
292,Gaziantep Şehitkamil Devlet Hastanesi,37.089745,37.36465,Pir Sultan Mahallesi Çetin Emeç Caddesi Şehitkamil Devlet Hastanesi,3423246767
293,Giresun Alucra İlçe Hastanesi,40.739143,38.448925,Mesudiye Mah. Kanuni Okul Sok. No:1 Alucra,4547513021
294,Giresun Ağız Ve Diş Sağlığı Merkezi,40.97724,37.883816,"Ağız Ve Diş Sağlığı Merkezi
Kale Mahallesi Eşref Dizdar Ad. No:21
Giresun",4542161005
295,Giresun Bulancak Devlet Hastanesi,40.90925,38.34653,"İsmetpaşa Mah. Hamdi Uzunalioğlu Caddesi  Pk : 28300
Pk : 28300  Bulancak-giresun",4543183030
296,Giresun Dereli İlçe Hastanesi,40.739258,38.44886,Kuşluhan Mah. Kale Mevki No:13/1 Dereli - Giresun,4543813166
297,Giresun Dr.A.İlhan Özdemir Devlet Hastanesi,40.90933,38.34666,Teyyare Düzü Mah.Atatürk Bulvarı No:323 Merkez / Giresun,4543102000
298,Giresun Dr.Ali Menekşe Göğüs Hastalıkları Hastanesi,40.90649,38.41187,Gedikkaya Mah. Giresun,4542164550
299,Giresun Espiye Devlet Hastanesi,40.94971,38.707836,Merkez Mah.Belediye Cad.No:1,4546112033
300,Giresun Fizik Tedavi Ve Rehabilitasyon Merkezi,40.924927,38.39093,Teyyaredüzü Mahallesi Atatürk Bulvarı No: 325 / Merkez - Giresun,4542444444
301,Giresun Kadın Doğum Ve Çocuk Hastalıkları Hastanesi,40.922333,38.382004,Osmaniye Mahallesi Yüzbaşısuyu Caddesi Hastane Sokak No:10   Giresun/merkez,4542161108
302,Giresun Op.Dr.Ergun Özdemir Görele Devlet Hastanesi,41.03754,38.979187,Bozcaali Mahallesi Görele Merkez,4545131138
303,Giresun Tirebolu Devlet Hastanesi,41.006653,38.848534,"Tirebolu Devlet Hastanesi Hamam Mah. Kurcakale Mevki No:1
28500 Tirebolu/ Giresun",4544114228
304,Giresun Yağlıdere İlçe Hastanesi,40.858826,38.627796,Dr. Selçuk Kayyalp Cd. No:34 ,4546712121
305,Giresun Ş.Karahisar Devlet Hastanesi,40.908276,38.36728,Bülbül Mah. Aragüler Cad.No:1 Şebinkarahisar,4547114008
306,Gümüşhane Devlet Hastanesi,40.462196,39.467205,Hasanbey Mah. Daltaban Semti Gümüşhane,4562131556
307,Gümüşhane Kelkit Devlet Hastanesi,40.106632,39.457096,Atatürk Cad.17 Şubat Bulvarı No:104 Kelkit / Gümüşhane,4563171029
308,Gümüşhane Şehit Ebe Kevser Ceylan Ağız Ve Diş Sağlığı  Merkezi,40.456272,39.485336,Karşıya Mahallesi Halit Zarbun Sokak No:5 Gümüşhane,4562135758
309,Gümüşhane Şiran Devlet Hastanesi,40.188953,39.12358,Tekke Mah.Şehit Tuna Kara Caddesi No12/a,4565117019
310,Hakkari Ağız Ve Diş Sağlığı Merkezi,37.577747,43.736057,Cevre Yolu Üzeri Medeni Sancar Kavşağı Demir Apt.No:1,4382110932
311,Hakkari Devlet Hastanesi,37.57424,43.732883,Çevre Yolu Hakkari Devlet Hastanesi,4382116067
312,Hakkari Yüksekova Devlet Hastanesi,37.565704,44.286037,İnanlı Mevkii İpek Yolu Üzeri,4383511152
313,Hakkari Şemdinli Devlet Hastanesi,37.305946,44.572735,"Moda Mah. Merkez / Şemdinli

",4384113819
314,Hatay Altınözü Devlet Hastanesi,36.087345,35.982716,Yenişehir Mh. Atatürk Cad. No: 111    Altınözü / Hatay,3263113131
315,Hatay Antakya Devlet Hastanesi,36215052.0,36136800.0,  Altınçay Mah.M.Kafadar Caddesi/ Hatay Antakya Devlet Hastanesi Antakya / Hatay,3262194000
316,Hatay Ağız Ve Diş Sağlığı Merkezi,36.25092,36.139526,"Altınçay Mah. M.Kafadar Cad. ,113/3 Hatay Antakya",3262272008
317,Hatay Doğum Ve Çocuk Bakımevi,36.197357,36.166763,Şirince Mah. Dabbahane Sok. Örgü Cad Antakya Hatay,3262146170
318,Hatay Dörtyol Ağız Ve Diş Sağlığı Merkezi,37.07473,36.24486,Çaylı Mahallesi Barbaros Cad Açs\ap Üst Katı Hatay Dörtyol,3267123109
319,Hatay Dörtyol Devlet Hastanesi,36.2135,36.8286,Numune Evler Mah.İstasyon Cad. Dörtyol/hatay,3267122287
320,Hatay Erzin Devlet Hastanesi,36.942104,36.21388,"Bahçelievler Mah. İ. Sıtkı Kara Bulvarı No:98
Erzin/hatay",3266817174
321,Hatay Hassa Devlet Hastanesi,36.717937,37.123016,Hassa Devlet Hastanesi Stadyum Caddesi Hassa Hatay,3267717333
322,Hatay Kırıkhan Ağız Ve Diş Sağlığı Merkezi,36.2171,36.133026,"Cumhuriyet Mahallesi Yonca Sokak No:9/b
Kırıkhan/hatay",3263446364
323,Hatay Kırıkhan Devlet Hastanesi,36.354206,36.498177,Kurtuluş Mh. İnönü Blv. Kırıkhan /hatay,3263449696
324,Hatay Reyhanlı Devlet Hastanesi,36.276524,36.574066,"Gültepe Mah. 407.Sok No:22
Reyhanlı/hatay",3264131049
325,Hatay Samandağı Devlet Hastanesi,35.980225,36.104595,Atatürk Mah.Ortaokul Cad.Pk:31800 Hatay - Samandağ,3265123880
326,Hatay İskenderun Ağız Ve Diş Sağlığı Merkezi,36.5932,36.1627,Süleymaniye Mah. Kazım Karabekir Cad. No:1 İskenderun / Hatay,3266136464
327,Hatay İskenderun Devlet Hastanesi,36.58205,36.17308,"Dumlupınar Mah.264.S 31200 İskenderun
",3266153750
328,Isparta Devlet Hastanesi,37.770714,30.552979,T.C Sağlık Bakanlığı-türkiye Kamu Hastaneleri Kurumu -Isparta İli Kamu Hastaneleri Birliği Genel Sekreterliği-ısparta Devlet Hastanesi ,2462115858
329,Isparta Dr. Sadık Yağcı Ağız Ve Diş Sağlığı Merkezi,37.76108,30.545982,Hızırbey Mahallesi 1509 Halis Sokak Doğumevi Yanı Merkez/ Isparta,2462330504
330,Isparta Eğirdir Kemik Eklem Hastalıkları Tedavi Ve Rehabilitasyon Hastanesi,37.875397,30.832443,Konya Yolu Üzeri Eğirdir,2463114790
331,Isparta Kadın Doğum Ve Çocuk Hastalıkları Hastanesi,37.71913,30.281754,Hızırbey Mahallesi Halis Sokak No:6,2462117000
332,Isparta Yalvaç Devlet Hastanesi,38.301792,31.187439,Kaş Mah. Hastane Cad.,2464417280
333,Isparta Şarkikaraağaç Devlet Hastanesi,38.087013,31.364594,Ulvikale Mh.Sağlık Sokak,2464114528
334,Mersin Anamur Devlet Hastanesi,36.08684,32.83539,Anamur Devlet Hastanesi Sağlık Mahallesi Dr.Abdullah Çelik Caddesi No:22 Anamur/mersin,3248148880
335,Mersin Aydıncık Devlet Hastanesi,36.15451,33.339386,Cumhuriyet Mah. Kenan Evren Cad. Gülnar Yol Kavşağı Aydıncık Mersin,3248414655
336,Mersin Ağız Diş Sağlığı Merkezi,36.805798,34.617275,Çağdaşkent Mah. Mimar Sinan Cad. No:75 Toroslar / Mersin,3242241565
337,Mersin Bozyazı Devlet Hastanesi,36.116245,32.96791,Şehitler Cadesei No:8,3248517001
338,Mersin Devlet Hastanesi,36.82028,34.628906,Nusratiye Mah. Kuvayi Milliye Cad. No:32 33050/mersin,3243363950
339,Mersin Erdemli Devlet Hastanesi,36.614426,34.32541,Erdemli Devlet Hastanesi - Akdeniz Mah. Yavuz Sultan Selim Cad. No:70/a Erdemli/mersin ,3242414800
340,Mersin Gülnar Devlet Hastanesi,36.346104,33.409424,Sareay Mahallesi Akkavak Caddesi No : 1   Gülnar Mersin,3247517411
341,Mersin Kadın Doğum Ve Çocuk Hastalıkları Hastanesi,36.84336,34.620667,Fatih Sultan Mehmet Bulv. Halkkent Mah. 23/a toroslar mersin,3242230701
342,Mersin Mut Devlet Hastanesi,36.65079,33.425903,Deveci Mah. Uğur Mumcu Sokak Mut-mersin,3247741044
343,Mersin Silifke Devlet Hastanesi,36.382042,33.928528,"Burunucu Köyü , 33960 Silifke/mersin ",3247144488
344,Mersin Tarsus Ağız Ve Diş Sağlığı Merkezi,34.51246,36.55198,Altaylılar Mah. A. Şamil Basayev Cd.74 Sk. Dış Kapı No:51 Tarsus/mersin,3246262685
345,Mersin Tarsus Devlet Hastanesi,36.924644,34.88434,"(Ana Bina)=donuktaş Caddesi Tekke Mahallesi No:27 Tarsus 
(Ek Bina 1)=İsmet Paşa Mahallesi Rasimdokur Caddesi No:1 Tarsus
(Ek Bina 2 Ağız Diş Sağlığı Merkezi)= Altaylılar Mh. Ahmet Şamil Basayev Cd. No:51 Tarsus (Tel:324 626 26 84-85)
",3246134700
346,Mersin Toros Devlet Hastanesi,36.821377,34.647446,"Yeni Mahalle, Cemalpaşa Cad. 5314 Sokak",3242337180
347,İstanbul - (Avrupa)- Beylikdüzü Ağız Ve Diş Sağlığı Merkezi,28.677279,40.983646,Marmara Mah. Fatih Sultan Mehmet Cad.Destegül Sok. No: 2  Yakuplu Beylikdüzü/istanbul,2128768199
348,İstanbul -(Avrupa)-  Avcılar Murat Kölük Devlet Hastanesi,40.98,28.73,Üniversite Mahallesi Yeni Yuvam Sokak No:4 Avcılar / İstanbul,2124129000
